country	year	sport	event	athlete	Result	medal
Greece	1896	Track & Field	800m Men	Demitrios Golemis	n/a	BRONZE
Greece	1896	Track & Field	Marathon Men	Spiridon Louis	2:58:50	GOLD
Greece	1896	Track & Field	Marathon Men	Charilaos Vasilakos	3:06:03	SILVER
Greece	1896	Track & Field	Pole Vault Men	Ioannis Theodoropoulos	2.85	BRONZE
Greece	1896	Track & Field	Pole Vault Men	Evangelos Damaskos	2.85	BRONZE
Greece	1896	Track & Field	Triple Jump Men	Ioannis Persakis	12.52	BRONZE
Greece	1896	Track & Field	Shot Put Men	Miltiades Gouskos	11.15	SILVER
Greece	1896	Track & Field	Shot Put Men	Georgios Papasideris	10.36	BRONZE
Greece	1896	Track & Field	Discus Throw Men	Panayiotis Paraskevopoulos	28.955	SILVER
Greece	1896	Track & Field	Discus Throw Men	Sotiris Versis	28.78	BRONZE
Greece	1896	Cycling	2000m Sprint (Scratch) Men	Stamatios Nikolopoulos	5:00.2	SILVER
Greece	1896	Cycling	Individual Road Race Men	Aristides Konstantinides	3:21:10	GOLD
Greece	1896	Cycling	One-Lap Race	Stamatios Nikolopoulos	26.0	SILVER
Greece	1896	Cycling	100km Track Race	Georgios Kolettis		SILVER
Greece	1896	Fencing	Foil, Individual	Perikles Pierrakos-Mavromikhalis		BRONZE
Greece	1896	Fencing	Sabre, Individual	Ioannis Georgiadis		GOLD
Greece	1896	Fencing	Sabre, Individual	Telemachos Karakalos		SILVER
Greece	1896	Fencing	Masters Foil	Leon Pyrgos		GOLD
Greece	1896	Gymnastics	Rings	Ioannis Mitropoulos		GOLD
Greece	1896	Gymnastics	Rings	Petros Persakis		BRONZE
Greece	1896	Gymnastics	Rope climbing	Nicolaos Andriakopoulos	23.4	GOLD
Greece	1896	Gymnastics	Rope climbing	Thomas Xenakis	n.a.	SILVER
Greece	1896	Gymnastics	Parallel Bars Team	Thomas Xenakis		SILVER
Greece	1896	Gymnastics	Parallel Bars Team	Petros Persakis		SILVER
Greece	1896	Gymnastics	Parallel Bars Team	Nicolaos Andriakopoulos		SILVER
Greece	1896	Gymnastics	Parallel Bars Team	Sotirios Athanasopoulos		SILVER
Greece	1896	Gymnastics	Parallel Bars Team	Philippos Karvelas		BRONZE
Greece	1896	Gymnastics	Parallel Bars Team	Ioannis Mitropoulos		BRONZE
