Sport,Discipline,Athlete,Event,Country,Medal,Year,Season,Gender,City
Aquatics,Swimming,"HAJOS, Alfred",100M Freestyle,Hungary,Gold,1896,summer,Men,Athens
Aquatics,Swimming,"HERSCHMANN, Otto",100M Freestyle,Austria,Silver,1896,summer,Men,Athens
Aquatics,Swimming,"DRIVAS, Dimitrios",100M Freestyle For Sailors,Greece,Bronze,1896,summer,Men,Athens
Aquatics,Swimming,"MALOKINIS, Ioannis",100M Freestyle For Sailors,Greece,Gold,1896,summer,Men,Athens
Aquatics,Swimming,"CHASAPIS, Spiridon",100M Freestyle For Sailors,Greece,Silver,1896,summer,Men,Athens
Aquatics,Swimming,"CHOROPHAS, Efstathios",1200M Freestyle,Greece,Bronze,1896,summer,Men,Athens
Aquatics,Swimming,"HAJOS, Alfred",1200M Freestyle,Hungary,Gold,1896,summer,Men,Athens
Aquatics,Swimming,"ANDREOU, Joannis",1200M Freestyle,Greece,Silver,1896,summer,Men,Athens
Aquatics,Swimming,"CHOROPHAS, Efstathios",400M Freestyle,Greece,Bronze,1896,summer,Men,Athens
Aquatics,Swimming,"NEUMANN, Paul",400M Freestyle,Austria,Gold,1896,summer,Men,Athens
Aquatics,Swimming,"PEPANOS, Antonios",400M Freestyle,Greece,Silver,1896,summer,Men,Athens
Athletics,Athletics,"LANE, Francis",100M,United States,Bronze,1896,summer,Men,Athens
Athletics,Athletics,"SZOKOLYI, Alajos",100M,Hungary,Bronze,1896,summer,Men,Athens
Athletics,Athletics,"BURKE, Thomas",100M,United States,Gold,1896,summer,Men,Athens
Athletics,Athletics,"HOFMANN, Fritz",100M,Germany,Silver,1896,summer,Men,Athens
Athletics,Athletics,"CURTIS, Thomas",110M Hurdles,United States,Gold,1896,summer,Men,Athens
Athletics,Athletics,"GOULDING, Grantley",110M Hurdles,United Kingdom,Silver,1896,summer,Men,Athens
Athletics,Athletics,"LERMUSIAUX, Albin",1500M,France,Bronze,1896,summer,Men,Athens
Athletics,Athletics,"FLACK, Edwin",1500M,Australia,Gold,1896,summer,Men,Athens
Athletics,Athletics,"BLAKE, Arthur",1500M,United States,Silver,1896,summer,Men,Athens
Athletics,Athletics,"GMELIN, Charles",400M,United Kingdom,Bronze,1896,summer,Men,Athens
Athletics,Athletics,"BURKE, Thomas",400M,United States,Gold,1896,summer,Men,Athens
Athletics,Athletics,"JAMISON, Herbert",400M,United States,Silver,1896,summer,Men,Athens
