Year,Award,Winning,Name,Film
1927/1928,Actor,won,Emil Jannings,The Last Command
1927/1928,Actor,nominated,Richard Barthelmess,The Noose
1927/1928,Actress,nominated,Louise Dresser,A Ship Comes In
1927/1928,Actress,won,Janet Gaynor,7th Heaven
1927/1928,Actress,nominated,Gloria Swanson,Sadie Thompson
1927/1928,Art Direction,nominated,Rochus Gliese,Sunrise
1927/1928,Art Direction,won,William Cameron Menzies,The Dove; Tempest
1927/1928,Art Direction,nominated,Harry Oliver,7th Heaven
1927/1928,Cinematography,nominated,George Barnes,The Devil Dancer; The Magic Flame; Sadie Thompson
1927/1928,Cinematography,won,Charles Rosher,Sunrise
1927/1928,Cinematography,won,Karl Struss,Sunrise
1927/1928,Directing (Comedy Picture),won,Lewis Milestone,Two Arabian Knights
1927/1928,Directing (Comedy Picture),nominated,Ted Wilde,Speedy
1927/1928,Directing (Dramatic Picture),won,Frank Borzage,7th Heaven
1927/1928,Directing (Dramatic Picture),nominated,Herbert Brenon,Sorrell and Son
1927/1928,Directing (Dramatic Picture),nominated,King Vidor,The Crowd
1927/1928,Engineering Effects,nominated,Ralph Hammeras,
1927/1928,Engineering Effects,won,Roy Pomeroy,Wings
1927/1928,Engineering Effects,nominated,Nugent Slaughter,
1927/1928,Outstanding Picture,nominated,The Caddo Company,The Racket
1927/1928,Outstanding Picture,nominated,Fox,7th Heaven
1927/1928,Outstanding Picture,won,Paramount Famous Lasky,Wings
1927/1928,Unique and Artistic Picture,won,Fox,Sunrise
1927/1928,Unique and Artistic Picture,nominated,Metro-Goldwyn-Mayer,The Crowd
1927/1928,Unique and Artistic Picture,nominated,Paramount Famous Lasky,Chang
1927/1928,Writing (Adaptation),nominated,Alfred Cohn,The Jazz Singer
1927/1928,Writing (Adaptation),nominated,Anthony Coldeway,Glorious Betsy
1927/1928,Writing (Adaptation),won,Benjamin Glazer,7th Heaven
1927/1928,Writing (Original Story),nominated,Lajos Biro,The Last Command
1927/1928,Writing (Original Story),won,Ben Hecht,Underworld
1927/1928,Writing (Title Writing),nominated,Gerald Duffy,The Private Life of Helen of Troy
1927/1928,Writing (Title Writing),won,Joseph Farnham,
1927/1928,Writing (Title Writing),nominated,"George Marion, Jr.",
1927/1928,Special Award,won,Warner Brothers,The Jazz Singer
1927/1928,Special Award,won,Charles Chaplin,The Circus
1928/1929,Actor,nominated,George Bancroft,Thunderbolt
1928/1929,Actor,won,Warner Baxter,In Old Arizona
1928/1929,Actor,nominated,Chester Morris,Alibi
1928/1929,Actor,nominated,Paul Muni,The Valiant
1928/1929,Actor,nominated,Lewis Stone,The Patriot
1928/1929,Actress,nominated,Ruth Chatterton,Madame X
1928/1929,Actress,nominated,Betty Compson,The Barker
1928/1929,Actress,nominated,Jeanne Eagels,The Letter
1928/1929,Actress,nominated,Corinne Griffith,The Divine Lady
1928/1929,Actress,nominated,Bessie Love,The Broadway Melody
1928/1929,Actress,won,Mary Pickford,Coquette
1928/1929,Art Direction,nominated,Hans Dreier,The Patriot
1928/1929,Art Direction,won,Cedric Gibbons,The Bridge of San Luis Rey
1928/1929,Art Direction,nominated,Mitchell Leisen,Dynamite
1928/1929,Art Direction,nominated,William Cameron Menzies,Alibi; and The Awakening
1928/1929,Art Direction,nominated,Harry Oliver,Street Angel
1928/1929,Cinematography,nominated,George Barnes,Our Dancing Daughters
1928/1929,Cinematography,won,Clyde De Vinna,White Shadows in the South Seas
1928/1929,Cinematography,nominated,Arthur Edeson,In Old Arizona
