Award,Year,Winning,Name,Film
Actor,1927/1928,won,Emil Jannings,The Last Command
Actor,1927/1928,nominated,Richard Barthelmess,The Noose
Actress,1927/1928,nominated,Louise Dresser,A Ship Comes In
Actress,1927/1928,won,Janet Gaynor,7th Heaven
Actress,1927/1928,nominated,Gloria Swanson,Sadie Thompson
Art Direction,1927/1928,nominated,Rochus Gliese,Sunrise
Art Direction,1927/1928,won,William Cameron Menzies,The Dove; Tempest
Art Direction,1927/1928,nominated,Harry Oliver,7th Heaven
Cinematography,1927/1928,nominated,George Barnes,The Devil Dancer; The Magic Flame; Sadie Thompson
Cinematography,1927/1928,won,Charles Rosher,Sunrise
Cinematography,1927/1928,won,Karl Struss,Sunrise
Directing (Comedy Picture),1927/1928,won,Lewis Milestone,Two Arabian Knights
Directing (Comedy Picture),1927/1928,nominated,Ted Wilde,Speedy
Directing (Dramatic Picture),1927/1928,won,Frank Borzage,7th Heaven
Directing (Dramatic Picture),1927/1928,nominated,Herbert Brenon,Sorrell and Son
Directing (Dramatic Picture),1927/1928,nominated,King Vidor,The Crowd
Engineering Effects,1927/1928,nominated,Ralph Hammeras,
Engineering Effects,1927/1928,won,Roy Pomeroy,Wings
Engineering Effects,1927/1928,nominated,Nugent Slaughter,
Outstanding Picture,1927/1928,nominated,The Caddo Company,The Racket
Outstanding Picture,1927/1928,nominated,Fox,7th Heaven
Outstanding Picture,1927/1928,won,Paramount Famous Lasky,Wings
Unique and Artistic Picture,1927/1928,won,Fox,Sunrise
Unique and Artistic Picture,1927/1928,nominated,Metro-Goldwyn-Mayer,The Crowd
Unique and Artistic Picture,1927/1928,nominated,Paramount Famous Lasky,Chang
Writing (Adaptation),1927/1928,nominated,Alfred Cohn,The Jazz Singer
Writing (Adaptation),1927/1928,nominated,Anthony Coldeway,Glorious Betsy
Writing (Adaptation),1927/1928,won,Benjamin Glazer,7th Heaven
Writing (Original Story),1927/1928,nominated,Lajos Biro,The Last Command
Writing (Original Story),1927/1928,won,Ben Hecht,Underworld
Writing (Title Writing),1927/1928,nominated,Gerald Duffy,The Private Life of Helen of Troy
Writing (Title Writing),1927/1928,won,Joseph Farnham,
Writing (Title Writing),1927/1928,nominated,"George Marion, Jr.",
Special Award,1927/1928,won,Warner Brothers,The Jazz Singer
Special Award,1927/1928,won,Charles Chaplin,The Circus
Actor,1928/1929,nominated,George Bancroft,Thunderbolt
Actor,1928/1929,won,Warner Baxter,In Old Arizona
Actor,1928/1929,nominated,Chester Morris,Alibi
Actor,1928/1929,nominated,Paul Muni,The Valiant
